0,gen_00000_indiv_00000,4.137543142831419,2,4,"cos(len(y, scalar(-0.9052118958297468)))"
11,gen_00000_indiv_00011,5.278144838004664,4,21,"mod(mdist(sstepp(clip(x, scalar(0.2612105314896458), scalar(0.3444225013777664, -0.529257349750591, -0.6191081213607741))), _and(mult(x, y), exp(scalar(0.9190429841819499)))), sqrt(len(lerp(scalar(-0.21046169615905597), x, scalar(-0.9085962766338305)), tan(scalar(0.07354657285676103)))))"
12,gen_00000_indiv_00012,4.224928578885738,4,29,"_if(log(sin(add(scalar(0.038947525505188096), y))), warp(cos(sub(scalar(-0.9692613201765541), y)), y, lerp(div(scalar(-0.08575382012874355), x), _if(scalar(-0.78117245752896), x, scalar(-0.5518911941014366)), clip(x, y, x))), step(log(len(scalar(0.9196384994100457), scalar(-0.5138969441023113, 0.3919886249683491, 0.5244683974799844)))))"
13,gen_00000_indiv_00013,3.906775780564203,4,13,"mdist(mdist(scalar(0.17580293179409368), scalar(-0.19882937999541084)), pow(sstepp(pow(scalar(0.8349890330486238), x)), sub(x, sin(scalar(-0.025433291571391514)))))"
14,gen_00000_indiv_00014,4.001750265164446,4,20,"clip(scalar(-0.40827895451976737), xor(xor(len(scalar(0.46158941219793226, -0.9883252829769853, -0.8260767255223556), scalar(0.9125466596895324)), neg(x)), scalar(-0.7458414697189719)), mdist(y, clip(sign(scalar(0.7749628006133844)), min(y, scalar(-0.8753015994665949)), sqrt(scalar(-0.28202478501736694)))))"
15,gen_00000_indiv_00015,3.7743422590897353,5,38,"len(sub(cos(frac(mult(scalar(0.13970871095755388), x))), warp(sstepp(_if(y, x, scalar(0.48981102525791775))), _or(abs(scalar(0.8701980760451202)), cos(scalar(-0.2819836906160058))), _and(sstepp(scalar(0.0009354042314262401)), sstepp(scalar(0.3352793871901678))))), tan(add(exp(warp(scalar(-0.661039577714881, 0.2678416577749474, -0.8792185169218116), scalar(-0.4697915876123355), scalar(-0.2405936404010709))), warp(sqrt(scalar(-0.8294984051155376)), exp(scalar(-0.3430017272402097)), len(scalar(-0.8240239601312, 0.35956003174488194, -0.7976272513491569), scalar(-0.7433087983642832))))))"
16,gen_00000_indiv_00016,4.161158955954306,5,36,"min(sstepp(warp(sin(sin(scalar(0.22813951073425143))), sqrt(sstepp(scalar(0.6633399132976063))), lerp(_or(y, scalar(0.54960041566979, 0.6584303954622428, 0.3422035061951936)), min(scalar(0.20547915538081885, 0.7738473716231333, -0.6122625502636732), x), len(scalar(-0.34688180094494014), scalar(0.4911381294812056, 0.010486284708960403, 0.20248995047384932))))), add(sstepp(len(div(scalar(0.6592167232124249), scalar(0.2286381194278213)), max(scalar(0.2901806054477978), scalar(-0.03083425588489841)))), sstep(len(pow(y, scalar(-0.39882844894654057)), add(scalar(-0.02942387047086492), y)))))"
17,gen_00000_indiv_00017,3.7811110050606658,5,13,"pow(scalar(-0.9860545514032546), lerp(step(sub(cos(scalar(-0.7974406029206504)), pow(y, scalar(-0.49915252215592654)))), scalar(-0.020834523437442742), tan(scalar(0.18231210727654878))))"
18,gen_00000_indiv_00018,3.9888895450994823,5,35,"exp(lerp(warp(_if(scalar(-0.7309309796346664, -0.10369253420229452, 0.23358735337473058), clip(x, scalar(-0.5741917679927295), scalar(0.6266052373531577)), div(scalar(0.16668451987623012), scalar(0.016076453676977964, -0.5822354345916614, 0.11338067486882952))), div(tan(scalar(-0.36861419006277085, -0.31949165634064713, -0.14754261172832095)), len(x, y)), warp(exp(scalar(0.4129838280140137, 0.31510436010051146, -0.015614607245538092)), lerp(scalar(0.11014523739899529, -0.839768425414515, -0.9901300997682867), scalar(-0.5913341767458695), y), sign(scalar(0.1949851205388491)))), exp(x), sstepp(mdist(scalar(0.009381599513183625, -0.3339414695577856, -0.4734403536815903), mdist(scalar(0.4298300524956664, 0.43597639017459056, -0.31787567793104743), y)))))"
19,gen_00000_indiv_00019,4.263163301446184,5,19,"exp(clip(tan(sqrt(div(scalar(0.6399587145293022), y))), _or(_and(lerp(x, x, scalar(0.02903656290139245)), sign(x)), sstep(frac(scalar(-0.6623387333470887)))), x))"
20,gen_00000_indiv_00020,3.7743422590897353,6,164,"lerp(len(warp(sqrt(_or(_if(scalar(0.3725129284994364), scalar(-0.8289611457953883), y), log(scalar(-0.3260971100258361)))), sub(log(neg(scalar(0.333500781520895))), _or(pow(scalar(-0.0774382229755628, -0.11671824936785757, 0.37181223826600096), scalar(-0.5643702279822205)), sin(scalar(-0.644401872908491)))), _and(_if(sign(x), mult(y, scalar(0.42817204268795184)), max(y, scalar(0.7348803880313617))), cos(sign(scalar(0.9996370415018243))))), pow(sign(sqrt(len(scalar(-0.3732407894874996, -0.10491292767660787, -0.5619382690163188), y))), warp(log(xor(scalar(0.8224705205891771, -0.2604737868721101, -0.6167601879181606), x)), frac(add(scalar(-0.3648043696543313, 0.7796763086719536, 0.19703719013206222), scalar(0.14304057831791783))), exp(abs(x))))), step(pow(clip(abs(pow(scalar(0.9514086887968494), scalar(0.6370738322671461))), tan(clip(y, x, scalar(-0.3616022361396045))), min(_or(scalar(-0.6051695573043954), x), mult(x, scalar(-0.6147409496685898)))), mult(len(sstepp(scalar(0.5971694808372883)), max(x, scalar(-0.010048930353238061))), _and(cos(y), sin(x))))), warp(xor(sstep(_or(mdist(y, x), xor(scalar(-0.5456657789182962, 0.7732882970934347, 0.04167975627192577), y))), lerp(_if(add(y, scalar(0.9782427069701396)), _or(y, x), clip(scalar(-0.09942209266180524), scalar(0.23034087036052364, 0.3961860023584929, -0.35667271453455274), x)), mod(sign(scalar(-0.38142302958093)), mdist(scalar(0.5361496054176005), scalar(0.7813916208578542))), cos(max(y, scalar(-0.4536981583088353))))), sub(xor(mult(cos(x), add(y, y)), div(pow(y, x), sub(scalar(-0.9465341409703307, -0.03404520309824899, 0.40872768525206715), scalar(0.16554717801311547)))), len(div(sub(x, y), neg(scalar(-0.8129423762248336, 0.028375208567220422, -0.03971671939297927))), neg(sstepp(y)))), xor(div(clip(clip(y, scalar(-0.3473568059318657), scalar(0.9688787392016096)), sign(scalar(-0.17606745748764574)), pow(x, y)), step(warp(x, scalar(0.07733143578206736, -0.5492206259486561, -0.1638517240816022), scalar(-0.7603331038625327)))), mdist(neg(tan(scalar(0.6848181706762462))), exp(exp(scalar(0.41595624930359065)))))))"
21,gen_00000_indiv_00021,4.14565170870992,6,29,"step(tan(_or(pow(max(log(scalar(0.8911598180008016, 0.22977588188907005, -0.6134256371807563)), _and(y, scalar(-0.9199007863489816))), clip(cos(scalar(0.9521977790064085)), len(y, y), _and(x, scalar(0.018570215464895456, 0.9920105996624555, 0.35974332457521574)))), _or(sign(frac(x)), xor(step(scalar(-0.3577210189080806)), mdist(x, scalar(-0.9334863109990093)))))))"
22,gen_00000_indiv_00022,6.320414003479428,6,44,"min(_or(sign(sqrt(_if(max(scalar(-0.4451519853485557), scalar(0.025642056853943718)), neg(scalar(-0.3145391303626357)), max(scalar(0.676133858038023, -0.2640794451174253, -0.46043746051486245), y)))), exp(len(mdist(tan(x), mdist(scalar(0.681540423814589), scalar(-0.4256768499567716))), xor(_if(x, scalar(-0.20239462565150057), scalar(0.5538829518144386)), add(scalar(-0.016116288316514682, 0.060970613751474056, -0.8581371291281619), scalar(-0.042335579149064495)))))), sstep(cos(mod(_if(sstep(y), sign(scalar(-0.43414244573591443)), add(scalar(0.2732346951742799), scalar(-0.40067035058305334))), frac(len(x, scalar(0.9807570151671052)))))))"
23,gen_00000_indiv_00023,3.9310841772330605,6,36,"div(clip(neg(scalar(0.7838878405836585)), step(scalar(0.455225490840115)), _and(mod(sqrt(scalar(0.605385653688892, -0.46240042862648334, -0.3896384124242409)), max(y, sign(y))), clip(lerp(pow(y, scalar(0.38159414034478556)), min(scalar(-0.06793410083013773, 0.8920398470774036, 0.09272023782532779), x), log(scalar(0.1527528399254423))), mult(scalar(0.2709948316874362, -0.8628648885707186, -0.5021990662611822), scalar(-0.4119068985009857, 0.1502512378829055, -0.09807707266058929)), step(x)))), sin(sign(neg(max(tan(y), scalar(0.04581739673722951, 0.07230907136894316, -0.15019862342287316))))))"
24,gen_00000_indiv_00024,4.741734435665421,6,55,"xor(len(sqrt(log(exp(scalar(-0.6487700996169601)))), sin(neg(scalar(0.24632904423717794)))), lerp(lerp(frac(pow(sstepp(scalar(0.2021208848246543, 0.8091400647236866, 0.697004715965932)), clip(y, scalar(-0.38712329316899985), scalar(-0.15640626369990906)))), _or(pow(y, tan(scalar(0.7759005526675065))), clip(mult(x, scalar(0.24255429068666667)), y, div(scalar(-0.07344189781340948), scalar(0.22685352501580192)))), scalar(-0.5331919638695517, -0.7479590220432695, 0.07977748721350886)), sstep(min(x, x)), len(step(_and(log(scalar(-0.5574099128376766)), log(x))), warp(scalar(-0.1539859641741117), x, pow(_if(scalar(-0.6723284784634527), scalar(0.3643516286688955), x), pow(x, scalar(-0.6077773903706445)))))))"
25,gen_00000_indiv_00025,4.511238059407333,6,62,"div(mod(sstep(_and(max(y, cos(scalar(0.4360845895643566))), add(_or(scalar(-0.27016904424970223), y), _or(x, y)))), clip(sqrt(lerp(scalar(0.9911869170133001), mult(scalar(0.6179107559704677, 0.11734183276222088, -0.2191245539964204), scalar(0.5447742356339658)), sin(x))), scalar(0.3611229109685967), pow(log(len(y, scalar(0.4888899235936319, -0.7275129931059929, -0.03966211691247201))), pow(clip(y, scalar(0.6214182041131131, 0.012213943471488298, -0.9654832455463729), scalar(0.6454589671050168)), max(x, x))))), xor(mod(y, frac(sin(neg(scalar(-0.8749037159508015))))), pow(div(scalar(0.6767165990475774), y), max(add(scalar(-0.048507863896960934), cos(scalar(-0.5239492139011779))), _if(xor(x, y), max(scalar(-0.9325749452292504), x), scalar(-0.22678774899588627))))))"
26,gen_00000_indiv_00026,6.5942012034384145,7,16,"tan(sqrt(sin(tan(mult(len(cos(x), step(y)), mdist(mdist(x, y), sqrt(scalar(-0.4768992246590582))))))))"
27,gen_00000_indiv_00027,4.189306354062865,7,205,"_if(lerp(_and(log(min(log(abs(y)), lerp(tan(y), sin(y), exp(scalar(-0.8384434323929826, -0.6942242647339918, -0.1340242337105786))))), step(_or(lerp(mod(scalar(-0.6142993987956462), y), cos(y), sub(scalar(0.08340588756276635), y)), len(len(scalar(-0.0831856336231851), scalar(-0.18459248887720836)), clip(scalar(-0.2077923548425087, -0.37497990661351577, 0.33917253862480035), y, scalar(-0.1903018821037734)))))), abs(tan(_if(neg(mdist(scalar(-0.700302824214835), scalar(-0.8545738386703858))), xor(sub(y, x), mod(scalar(0.5600020981715537, 0.7904605881113913, -0.9971333400916873), scalar(0.7405201182402752, -0.17684266364880208, 0.5052069553107319))), mod(sqrt(scalar(-0.3721199800813333)), sqrt(scalar(-0.6294284618022814)))))), _or(min(len(tan(mult(scalar(0.9899344231308596), x)), mod(add(x, scalar(-0.18656779892461528)), step(scalar(-0.25355028811022606)))), min(sstep(min(scalar(0.09369594971789996), y)), len(len(y, scalar(-0.7618751581175172)), _if(y, scalar(-0.5813185020867138), y)))), warp(len(sign(min(scalar(0.9292948775111485), scalar(0.9340777586985534))), neg(cos(scalar(0.37466976812376807)))), warp(lerp(warp(x, y, scalar(-0.7888754574377721)), sign(x), pow(x, x)), cos(sqrt(y)), neg(min(x, scalar(0.012944285619003404)))), cos(div(sstep(y), sin(scalar(-0.6209429470596237))))))), mult(sstep(add(cos(clip(abs(scalar(-0.7638401975111775)), mdist(y, x), _if(scalar(-0.7177440083662012), scalar(-0.06478538697617187), scalar(-0.610577236689271)))), len(pow(_and(y, scalar(-0.626294579784523)), warp(x, scalar(0.21222437515451076), scalar(-0.9276061095350856))), neg(warp(scalar(0.0921484580243277, 0.1816053565341358, 0.8155611157801372), scalar(0.578760742183495, 0.9711328800867176, 0.6007201402191633), scalar(0.4366348694176756, 0.28829189083991236, -0.2141533252697725)))))), pow(max(lerp(sub(warp(scalar(0.5353875018334138), y, scalar(0.9400038163641724, -0.6195333787138708, -0.5374349469261541)), warp(scalar(-0.23228798435585163), x, y)), sub(sqrt(scalar(0.526540396107313)), len(scalar(0.9144880436129312), scalar(0.26914675204212624, 0.16265404178598564, 0.9385269672014824))), _or(mdist(scalar(-0.49191149847213), scalar(-0.23048481248748742, -0.2551180428664661, 0.9925025416723485)), _and(x, x))), add(sstepp(log(x)), sstep(_or(x, scalar(-0.5933206989915774, 0.4051111895501718, 0.7974401220727756))))), sstepp(_and(_and(mod(scalar(-0.11592949207366154, 0.6837735273467287, -0.7292429517185521), y), _and(x, scalar(0.7239352751500137))), _or(add(y, x), min(y, scalar(-0.5254476470946099, -0.6302258435821284, 0.4210016613414731))))))), abs(sstepp(sin(mult(_or(pow(x, scalar(-0.7901585077242634, -0.4051189419624033, 0.810653977441917)), clip(x, x, x)), sign(sub(x, y)))))))"
28,gen_00000_indiv_00028,3.6469719172199007,7,118,"len(mdist(mdist(_and(_if(mod(min(scalar(0.6809214185953789, -0.6239239861621522, -0.5173757514687067), scalar(-0.4308307575565409)), _and(scalar(0.9215774220635726), y)), sstep(len(scalar(0.6197796310019035), scalar(0.22503490098490864))), sub(sub(x, y), neg(scalar(-0.7101950973552043)))), _and(warp(clip(scalar(0.28802661450155354), scalar(0.8899123052809672, 0.060734804365360606, -0.12600903734033908), x), sub(y, scalar(0.7143037400657055)), abs(scalar(0.9058206632108958, -0.9237911521180868, -0.8381988968336505))), min(sign(scalar(0.720662924486487)), sstepp(scalar(-0.34711823122243124, 0.4754565882944779, -0.033799008524872276))))), frac(pow(min(cos(scalar(-0.6484260221438225)), add(scalar(-0.3536798104879666), scalar(-0.7709659680897736, -0.003917110624421127, -0.8577713211508884))), xor(div(scalar(0.686417132164596, 0.7722531452402119, -0.11289232698291185), scalar(-0.8413632952824697)), log(x))))), exp(sqrt(sqrt(cos(cos(x)))))), abs(mod(xor(warp(_or(sign(scalar(-0.48282114241987184, 0.31869660178555725, 0.20525078909552108)), _if(x, y, scalar(0.6139646893112347))), len(sqrt(y), sub(y, scalar(-0.6021601607257818))), _or(sub(scalar(0.13514070911390696, -0.02408997371272581, -0.37371620967392594), y), sin(y))), log(sign(mdist(scalar(0.7180226475653768), scalar(0.05587985320557043))))), _if(frac(clip(mod(scalar(-0.7653719185728562), y), frac(scalar(0.6572421429344832, 0.680595626420802, 0.9890599036534979)), mult(y, y))), sin(clip(sstepp(x), _or(scalar(0.44015797886880037), scalar(0.5081764839870979)), step(scalar(0.32233978838027544)))), clip(abs(len(scalar(0.6456959185846751, -0.5392198891827498, -0.24866898904879498), x)), frac(mult(scalar(0.7023100148125725), y)), sstep(abs(scalar(0.018754989073781703))))))))"
29,gen_00000_indiv_00029,4.056570834240119,4,7,"max(_or(neg(neg(scalar(-0.2312931330382213, 0.00842412039424989, 0.16138867986504568))), scalar(-0.6045036870368037, -0.009901954038184613, 0.4464286028287594)), y)"
30,gen_00000_indiv_00030,4.141459181824757,7,100,"abs(xor(pow(lerp(_and(min(warp(scalar(0.7628961308211049, 0.04937391677099945, -0.2657498572632562), scalar(0.44412529687147884), scalar(0.4359365909447801, -0.7963756181778556, 0.19056664317323868)), y), frac(min(scalar(-0.39466413959056723), y))), max(sstep(_and(scalar(-0.8310275133191927), scalar(0.7300557724682901, -0.4396729193516933, 0.28520629662605845))), step(x)), lerp(max(max(scalar(-0.0007188357040657234, 0.8382192480407553, 0.2951220636427714), scalar(-0.6124727265225016)), scalar(0.1241345968742964)), y, x)), warp(sin(clip(lerp(scalar(0.547675046003254), x, y), cos(scalar(-0.4637158612334562, 0.8135700291248231, -0.27384885634071243)), scalar(0.06603619762898005))), scalar(-0.09619803229325896, 0.05622753226187571, 0.3027166048809715), frac(clip(pow(scalar(-0.0023177363391546635), scalar(-0.20141901769006298)), clip(scalar(-0.47515734522279574, -0.534819452602618, 0.20841509267030034), scalar(0.20242021637493757), scalar(-0.8333728957212674)), warp(scalar(0.3924598435244462, -0.6402366491310465, 0.5216821568492132), scalar(-0.9359604550689673), x))))), xor(_if(step(_if(_if(y, x, y), scalar(-0.595455893176807), max(x, scalar(-0.887398164821692, 0.4117992355375797, 0.7260636578771082)))), mult(tan(y), _and(abs(scalar(-0.615665780483112, 0.51390896929755, 0.31448605817427344)), sqrt(scalar(-0.5537645207232298)))), add(exp(lerp(x, scalar(-0.21825518821965906), scalar(0.5379887303885957))), sub(sub(scalar(0.4525565622901322), y), scalar(-0.6196610951086148)))), xor(log(clip(sin(x), abs(scalar(0.9961933807400483)), sub(y, y))), cos(sstep(mod(x, x)))))))"
31,gen_00000_indiv_00031,3.6217821298489525,1,2,"sign(scalar(-0.89609108636645, -0.420842699199957, 0.26248376504476534))"
32,gen_00000_indiv_00032,6.492973542148015,8,165,"cos(sub(sstepp(log(abs(len(lerp(sqrt(y), sin(scalar(0.40800962252524964, 0.449407231089755, 0.1757665145964329)), lerp(scalar(0.36120124945587273), scalar(-0.7985165213415435), scalar(0.479375180164916))), _and(xor(scalar(-0.20616237941785664, 0.3293092084184417, 0.5688830430148786), scalar(-0.40921979131118635)), min(scalar(0.18112625313614417, -0.20119248059701134, 0.29721627330121003), scalar(-0.7570401405950054))))))), clip(sstep(mult(sqrt(xor(mult(scalar(0.2125451383773731), scalar(0.7891159285149207)), clip(x, scalar(0.5982908220024605), x))), pow(_or(exp(scalar(-0.4268797823071977)), log(scalar(0.87313119706142))), warp(add(scalar(0.17444282915009834), y), lerp(scalar(-0.5963966256829478), scalar(0.8328822112183407), scalar(0.914211701800953)), mult(x, x))))), clip(clip(xor(mult(_or(scalar(-0.77848969786447), y), pow(scalar(-0.3398587584055168, -0.9279810897696437, 0.5415742054172201), scalar(0.2763369282380006, -0.29868870926919877, -0.7932812824492657))), pow(tan(x), sstepp(scalar(-0.39745832928142955)))), sub(min(max(scalar(-0.038949413162009394), x), neg(y)), lerp(sstepp(y), exp(scalar(0.416706532010092)), clip(scalar(-0.5113022974127572, -0.5993446222087069, -0.16767241994890614), scalar(0.8050516580155938, -0.9200987585050651, -0.08344139601673528), y))), lerp(_or(lerp(x, x, scalar(0.9302118885204473, -0.18020556563435086, 0.7692458795661095)), mdist(scalar(-0.8925150475438546), scalar(-0.979017455222799, 0.24193262282713657, -0.8905676791990698))), add(add(scalar(-0.43660612879688143), scalar(-0.20434389039403134)), step(scalar(-0.8129418380908067, -0.7442426669256046, 0.9370736201680914))), sstepp(add(x, y)))), pow(sin(tan(max(scalar(0.48987882494320556), scalar(-0.7977548043072902)))), max(lerp(frac(scalar(0.7453978140441169, 0.4233213873340733, 0.26841689790020307)), xor(x, x), _if(scalar(0.32839065263947886), scalar(0.5383047636166172), y)), warp(div(scalar(0.6390820168652691), y), sstepp(scalar(-0.806708653191462)), add(y, scalar(-0.6442318307406327))))), _and(log(div(sign(y), sub(x, scalar(-0.2941559256515165, -0.0170577563498453, 0.837531933248735)))), _if(exp(pow(x, y)), sign(step(scalar(-0.5003307933419445))), neg(exp(scalar(0.3236585515150836)))))), abs(xor(sqrt(sign(sqrt(x))), _and(mdist(min(y, scalar(-0.123854383566262, -0.8237365582484517, -0.28911671050967547)), sqrt(scalar(-0.8585578004709593))), len(cos(scalar(0.011771680532794093, 0.3968913011400621, 0.5260618511895729)), pow(x, scalar(0.4207791106774501)))))))))"
33,gen_00000_indiv_00033,5.1733556386316195,8,71,"cos(min(mdist(neg(len(frac(add(frac(scalar(0.4147583389452969)), mod(x, scalar(0.4871599054172542, 0.3375730432273756, -0.08398333965674465)))), lerp(mdist(max(scalar(-0.41836729800737604), x), sqrt(scalar(-0.894385810898805))), pow(sign(y), tan(scalar(0.03417858358983872))), sstepp(exp(scalar(-0.43054664272870924)))))), mdist(tan(xor(xor(neg(y), div(x, x)), tan(mult(x, scalar(-0.7976899561474189, -0.6420072903743939, -0.8577082171425596))))), frac(clip(add(add(x, scalar(0.41169861985302725)), sstep(scalar(-0.6640381491946838))), sin(abs(y)), lerp(pow(scalar(-0.02066158479035929, 0.7261940221539542, 0.08921495492007914), y), neg(scalar(-0.8268770166416315, -0.10581903545851068, 0.7981697261169187)), sqrt(scalar(0.6712027338077644))))))), neg(cos(step(mdist(cos(_or(y, x)), sstep(div(x, scalar(0.2861506654185213)))))))))"
34,gen_00000_indiv_00034,3.774344667609057,8,50,"sstepp(pow(tan(sin(mdist(abs(sign(tan(y))), mod(mult(mod(scalar(-0.6032914505339733), scalar(-0.44263875812390663)), add(scalar(0.46676756021528143), x)), lerp(clip(scalar(0.35347741750937667, -0.8281298887920154, 0.5224947989785538), scalar(-0.7171575377352366, -0.1522592401974654, -0.20131461293183395), scalar(-0.6321732935420923)), sstepp(scalar(-0.9283447753794809)), log(scalar(-0.8117921144822968, 0.8909291729978432, -0.4226828380710306))))))), sin(max(step(step(warp(div(y, x), lerp(scalar(0.8461421055849567), y, y), log(y)))), tan(step(add(mod(x, x), _if(scalar(0.41050105718095264, -0.9798715198081369, 0.325057531813552), x, x))))))))"
35,gen_00000_indiv_00035,4.8188744454528205,8,89,"lerp(len(scalar(-0.8310279056754724), frac(add(max(pow(add(sstep(y), mdist(scalar(0.8223039660733473), y)), lerp(sstep(y), sin(scalar(0.6732841068354676)), x)), sstep(x)), sstepp(neg(sign(exp(x))))))), _and(div(y, abs(scalar(-0.40260626619408346))), mod(scalar(0.3686078888405764), min(log(y), min(lerp(abs(x), add(sign(scalar(0.22719613449022336, -0.30775731718667276, -0.10383592205562064)), log(y)), xor(cos(scalar(-0.10015151010028789, 0.6380535969845114, 0.15962751992304502)), cos(y))), abs(warp(max(scalar(-0.17187894418014382), x), scalar(0.7824726137968776), cos(x))))))), sqrt(clip(_and(len(sign(x), tan(mult(mod(scalar(-0.37682399884387063), scalar(0.24573321150719396)), frac(scalar(-0.7773972669819686))))), scalar(-0.735634215387095)), abs(neg(max(x, y))), div(y, tan(len(div(scalar(0.48686235252898724), mdist(y, y)), sqrt(sqrt(scalar(0.23206676423961858)))))))))"
36,gen_00000_indiv_00036,3.7743422590897353,8,71,"neg(warp(neg(neg(div(scalar(-0.6851527563709012), exp(neg(pow(x, x)))))), sin(scalar(-0.4957590821898734)), clip(tan(log(len(warp(sin(scalar(0.27507935870840705)), scalar(0.2932306185609086), _and(scalar(-0.21874799882378215), x)), len(tan(scalar(0.19182499378289775, -0.4447390118467889, -0.7177755950251217)), sub(scalar(0.27659621389556377), x))))), sub(_if(_if(y, frac(x), clip(scalar(-0.0878773813923337, 0.27981737862612, 0.42064124466492925), abs(y), sstep(y))), pow(frac(step(x)), clip(add(scalar(0.8021270675281407), scalar(-0.3961737127975802)), min(scalar(-0.8184063039808764, 0.7528043276320262, 0.22977049488811807), scalar(-0.8362660952133336, 0.9992258569419705, -0.16135511486681464)), abs(scalar(-0.46214784453315394, -0.21194381308440824, -0.33232765755056337)))), warp(abs(step(scalar(0.009147907214974715))), x, lerp(sin(scalar(-0.32470532099172855)), tan(scalar(0.8014633771690771, 0.06699294401018663, -0.09041433180480896)), max(scalar(-0.8632273934191126), scalar(0.775813726512312))))), scalar(-0.6186808393713439)), neg(y))))"
37,gen_00000_indiv_00037,5.164630074006709,8,39,"len(scalar(0.07150509622973478), len(y, log(frac(clip(xor(lerp(add(x, y), sqrt(x), max(x, scalar(-0.5099509681336072))), log(sstep(y))), mult(xor(sin(x), _or(x, x)), cos(lerp(scalar(0.4746523256931343), scalar(-0.4479247665316639, -0.5270107397589889, 0.4014040391211815), scalar(-0.7730413666012124)))), exp(warp(x, sin(scalar(0.9019311383962283, 0.19945052426116816, -0.7970427713236603)), frac(scalar(-0.9493639902303879)))))))))"
